bottle;days;CH4_content
1.1;8;0,701879178
1.2;8;0,75131739
1.3;8;0,761247996
10.1;8;0,569787945
10.2;8;0,566443434
10.3;8;0,559589162
2.1;8;0,577074975
2.2;8;0,571527437
2.3;8;0,446115282
3.1;8;0,729146277
3.2;8;0,735366065
3.3;8;0,723701853
4.1;8;0,705562164
4.2;8;0,699159839
4.3;8;0,698784221
5.1;8;0,591154871
5.2;8;0,610798567
5.3;8;0,621812227
6.1;8;0,737546096
6.2;8;0,733855195
6.3;8;0,737272032
7.1;8;0,746901997
7.2;8;0,73952719
7.3;8;0,736266513
8.1;8;0,778928327
8.2;8;0,77354476
8.3;8;0,767062826
9.1;8;0,505399551
9.2;8;0,446009296
9.3;8;0,444613194
1.1;13;0,727110391
1.2;13;0,714635818
1.3;13;0,711167486
10.1;13;0,587125994
10.2;13;0,557641253
10.3;13;0,56637576
2.1;13;0,818009507
2.2;13;0,778162478
2.3;13;0,725134874
3.1;13;0,688141455
3.2;13;0,690075839
3.3;13;0,693561479
4.1;13;0,685928083
4.2;13;0,672258377
4.3;13;0,673365243
5.1;13;0,720720272
5.2;13;0,766952089
5.3;13;0,78203462
6.1;13;0,704420418
6.2;13;0,715120397
6.3;13;0,708534853
7.1;13;0,700416839
7.2;13;0,701852831
7.3;13;0,705889494
8.1;13;0,683932884
8.2;13;0,688213646
8.3;13;0,687443504
9.1;13;0,59022272
9.2;13;0,582260838
9.3;13;0,556471533
1.1;21;0,699377195
1.2;21;0,68246181
1.3;21;0,676999135
2.1;21;0,73420473
2.2;21;0,707824636
2.3;21;0,751926284
3.1;21;0,713614594
3.2;21;0,707603024
3.3;21;0,709919028
4.1;21;0,698847745
4.2;21;0,696633073
4.3;21;0,697247671
5.1;21;0,851013778
5.2;21;0,809870684
5.3;21;0,796000555
6.1;21;0,68249225
6.2;21;0,680359219
6.3;21;0,680285405
7.1;21;0,68044193
7.2;21;0,674005559
7.3;21;0,67780061
8.1;21;0,727358426
8.2;21;0,750044845
8.3;21;0,732937403
10.1;22;0,719367371
10.2;22;0,718191844
10.3;22;0,718847561
9.1;22;0,726854227
9.2;22;0,731125696
9.3;22;0,723828686
1.1;27;0,747015112
1.2;27;0,676248494
1.3;27;0,669196768
2.1;27;0,699966238
2.2;27;0,703559451
2.3;27;0,731491073
3.1;27;0,695971484
3.2;27;0,692116753
3.3;27;0,692997487
4.1;27;0,695276544
4.2;27;0,695357808
4.3;27;0,692810059
5.1;27;0,780660842
5.2;27;0,7816492
5.3;27;0,796396178
6.1;27;0,67275134
6.2;27;0,669466947
6.3;27;0,669860811
7.2;27;0,673992361
7.3;27;0,674054116
8.1;27;0,743578486
8.2;27;0,740080596
8.3;27;0,742734993
10.1;28;0,691780601
10.2;28;0,69746894
10.3;28;0,697356952
9.1;28;0,718709502
9.2;28;0,734531397
9.3;28;0,75174657
1.1;41;0,678693035
1.2;41;0,664688821
1.3;41;0,663162558
2.1;41;0,673854712
2.2;41;0,677228689
2.3;41;0,707256578
3.1;41;0,671229058
3.2;41;0,664869858
3.3;41;0,663396575
4.1;41;0,665193724
4.2;41;0,673440437
4.3;41;0,666321939
5.1;41;0,831348504
5.2;41;0,726958906
5.3;41;0,742740432
6.1;41;0,660099743
6.2;41;0,659614158
6.3;41;0,659884243
7.2;41;0,666111853
7.3;41;0,670374539
8.1;41;0,701939396
8.2;41;0,700903722
8.3;41;0,706845242
10.1;43;0,654828894
10.2;43;0,652541795
10.3;43;0,661210513
9.1;43;0,677684424
9.2;43;0,682054416
9.3;43;0,681640362
1.1;50;0,677686374
1.2;50;0,656217016
1.3;50;0,656971243
2.1;50;0,662648841
2.2;50;0,657502676
2.3;50;0,71834833
3.1;50;0,667147464
3.2;50;0,659378108
3.3;50;0,651986904
4.1;50;0,655087333
4.2;50;0,670863112
4.3;50;0,675057344
5.1;50;0,753045449
5.2;50;0,711501613
5.3;50;0,725704163
6.1;50;0,668012673
6.2;50;0,652367319
6.3;50;0,664774832
7.2;50;0,666736284
7.3;50;0,646187038
8.1;50;0,676823549
8.2;50;0,68432929
8.3;50;0,71327319
10.1;54;0,63666491
10.2;54;0,6405409
10.3;54;0,648110619
9.1;54;0,653829951
9.2;54;0,653808246
9.3;54;0,658813531
