"id","date.time","days","mass"
"2_1","2014-06-05 13:30:00",0,1200.6
"2_2","2014-06-05 13:30:00",0,1217.7
"2_3","2014-06-05 13:30:00",0,1194.9
"2_4","2014-06-05 13:30:00",0,1194.5
"2_5","2014-06-05 13:30:00",0,1196.3
"2_6","2014-06-05 13:30:00",0,1207.7
"2_10","2014-06-05 13:30:00",0,1192.7
"2_11","2014-06-05 13:30:00",0,1194.4
"2_12","2014-06-05 13:30:00",0,1192.2
"2_1","2014-10-06 10:45:00",122.885416666667,1196.1
"2_2","2014-10-06 10:45:00",122.885416666667,1213
"2_3","2014-10-06 10:45:00",122.885416666667,1190.3
"2_4","2014-10-06 10:45:00",122.885416666667,1188.2
"2_5","2014-10-06 10:45:00",122.885416666667,1189.8
"2_6","2014-10-06 10:45:00",122.885416666667,1201
"2_10","2014-10-06 10:45:00",122.885416666667,1187.8
"2_11","2014-10-06 10:45:00",122.885416666667,1189.6
"2_12","2014-10-06 10:45:00",122.885416666667,1187.4
