"bottle","description","inoc_mass_g","sub_VS_mass_g"
"1_1","Slaughterhouse waste",20.171,7.296
"1_2","Slaughterhouse waste",20.357,7.352
"1_3","Slaughterhouse waste",20.253,7.908
"2_1","Ham",20.879,6.381
"2_2","Ham",21.009,6.345
"2_3","Ham",21,6.61
"3_1","Pig manure",12.497,5.087
"3_2","Pig manure",12.603,5.281
"3_3","Pig manure",12.657,5.198
"4_1","Cellulose",19.913,7.42
"4_2","Cellulose",18.397,7.42
"4_3","Cellulose",18.402,7.42
"5_1","Inoculum",18.726,NA
"5_2","Inoculum",18.747,NA
"5_3","Inoculum",18.886,NA
