"id","time.d","vol"
"1",0,0
"1",1,70.6
"1",2,100.5
"1",3,125
"1",4,144
"1",5,158.6
"1",6,172.3
"1",7,181.7
"1",8,191.5
"1",9,201.9
"1",10,209.5
"1",11,215.7
"1",12,224.5
"1",13,232.2
"1",14,235.6
"1",15,239
"1",16,246.3
"1",17,249.3
"1",18,252.1
"1",19,254.3
"1",20,255.1
"1",21,255.9
"1",22,256.8
"1",23,257.6
"1",24,258.4
"1",25,259.2
"1",26,260.1
"1",27,260.9
"1",28,261.8
"1",29,264.3
"1",30,266.8
"1",31,269.3
"1",32,269.3
"1",33,269.3
"1",34,269.3
"1",35,269.3
"1",36,269.3
"1",37,269.3
"1",38,269.3
"1",39,269.3
"1",40,269.3
"1",41,269.3
"1",42,269.3
"1",43,269.3
"10",0,0
"10",1,249.5
"10",2,521.1
"10",3,830.6
"10",4,1112.7
"10",5,1348.9
"10",6,1552.4
"10",7,1736
"10",8,1902.9
"10",9,2044.3
"10",10,2167.8
"10",11,2274
"10",12,2366.3
"10",13,2444.7
"10",14,2509.4
"10",15,2565.7
"10",16,2618.1
"10",17,2664.9
"10",18,2705.2
"10",19,2744.6
"10",20,2775
"10",21,2805.5
"10",22,2831.3
"10",23,2856.5
"10",24,2878.3
"10",25,2896.2
"10",26,2919.1
"10",27,2937.1
"10",28,2952.9
"10",29,2970.2
"10",30,2984.6
"10",31,3000.8
"10",32,3012.6
"10",33,3023.4
"10",34,3033.1
"10",35,3044
"10",36,3056.4
"10",37,3067.7
"10",38,3078.1
"10",39,3088.9
"10",40,3099.3
"10",41,3109.6
"10",42,3121.9
"10",43,3123.9
"11",0,0
"11",1,277.8
"11",2,561.8
"11",3,876.9
"11",4,1160.3
"11",5,1413
"11",6,1629.4
"11",7,1820.6
"11",8,1991.7
"11",9,2136.4
"11",10,2258.9
"11",11,2360.6
"11",12,2448.5
"11",13,2522.9
"11",14,2581.6
"11",15,2632.6
"11",16,2680.8
"11",17,2724.8
"11",18,2760.6
"11",19,2796.7
"11",20,2825
"11",21,2854.6
"11",22,2877.7
"11",23,2900.5
"11",24,2920.5
"11",25,2938.5
"11",26,2961.5
"11",27,2979.8
"11",28,2995.6
"11",29,3012.1
"11",30,3027.7
"11",31,3042.5
"11",32,3052.8
"11",33,3062
"11",34,3071.2
"11",35,3079.8
"11",36,3089.7
"11",37,3099.5
"11",38,3106.8
"11",39,3114.7
"11",40,3122
"11",41,3129.1
"11",42,3137.8
"11",43,3140.9
"12",0,0
"12",1,280.6
"12",2,562.9
"12",3,876
"12",4,1150
"12",5,1388.9
"12",6,1597.8
"12",7,1781.5
"12",8,1951.1
"12",9,2093.6
"12",10,2217.8
"12",11,2324.2
"12",12,2417
"12",13,2494.2
"12",14,2558.5
"12",15,2613.1
"12",16,2665.4
"12",17,2708.9
"12",18,2747.1
"12",19,2784.2
"12",20,2813.1
"12",21,2842
"12",22,2866
"12",23,2890.5
"12",24,2911.3
"12",25,2929.4
"12",26,2953.8
"12",27,2972.6
"12",28,2988.2
"12",29,3002.9
"12",30,3017.5
"12",31,3031.6
"12",32,3042.1
"12",33,3050.9
"12",34,3058.7
"12",35,3066.6
"12",36,3075
"12",37,3086.4
"12",38,3091.3
"12",39,3096.7
"12",40,3103.2
"12",41,3108.6
"12",42,3115.5
"12",43,3119.6
"2",0,0
"2",1,68.5
"2",2,97.6
"2",3,120.8
"2",4,138.3
"2",5,152.1
"2",6,164.5
"2",7,173
"2",8,181.2
"2",9,189.6
"2",10,196.7
"2",11,202
"2",12,207.4
"2",13,213
"2",14,215.6
"2",15,218.2
"2",16,222.1
"2",17,228
"2",18,232
"2",19,235.3
"2",20,237
"2",21,238.8
"2",22,240.6
"2",23,242.4
"2",24,243.9
"2",25,245.4
"2",26,246.9
"2",27,248.4
"2",28,249.8
"2",29,249.8
"2",30,249.8
"2",31,249.8
"2",32,249.8
"2",33,249.8
"2",34,249.8
"2",35,249.8
"2",36,249.8
"2",37,249.8
"2",38,249.8
"2",39,249.8
"2",40,249.8
"2",41,249.8
"2",42,249.8
"2",43,249.8
"3",0,0
"3",1,69.7
"3",2,100.3
"3",3,125.9
"3",4,144.5
"3",5,158.9
"3",6,171.2
"3",7,181.3
"3",8,189.5
"3",9,199
"3",10,206.5
"3",11,214.1
"3",12,221.5
"3",13,227.5
"3",14,230.4
"3",15,233.3
"3",16,237.6
"3",17,242.2
"3",18,244.7
"3",19,247.2
"3",20,249.5
"3",21,250.7
"3",22,251.9
"3",23,253.2
"3",24,254.4
"3",25,255.7
"3",26,256.9
"3",27,258.9
"3",28,260.9
"3",29,262.9
"3",30,264.5
"3",31,264.5
"3",32,264.5
"3",33,264.5
"3",34,264.5
"3",35,264.5
"3",36,264.5
"3",37,264.5
"3",38,264.5
"3",39,264.5
"3",40,264.5
"3",41,264.5
"3",42,264.5
"3",43,264.5
"4",0,0
"4",1,78.6
"4",2,357
"4",3,846
"4",4,1291.5
"4",5,1513.2
"4",6,1676.6
"4",7,1766.4
"4",8,1815.9
"4",9,1844
"4",10,1864.7
"4",11,1881.4
"4",12,1897.1
"4",13,1911.8
"4",14,1920.6
"4",15,1927.9
"4",16,1936.7
"4",17,1946.6
"4",18,1955.1
"4",19,1961.8
"4",20,1967.6
"4",21,1972.1
"4",22,1977.2
"4",23,1983.3
"4",24,1986.2
"4",25,1989.1
"4",26,1992.1
"4",27,1996
"4",28,2000
"4",29,2003
"4",30,2006
"4",31,2008.6
"4",32,2010.2
"4",33,2011.8
"4",34,2013.4
"4",35,2015
"4",36,2016.5
"4",37,2018
"4",38,2019.5
"4",39,2021
"4",40,2022.5
"4",41,2024
"4",42,2024.9
"4",43,2024.9
"5",0,0
"5",1,78.1
"5",2,369
"5",3,895.2
"5",4,1323.7
"5",5,1542.1
"5",6,1696.8
"5",7,1785.4
"5",8,1832.6
"5",9,1859.2
"5",10,1880.3
"5",11,1896.1
"5",12,1912.1
"5",13,1926.4
"5",14,1935.2
"5",15,1943.1
"5",16,1956.1
"5",17,1965.9
"5",18,1972.1
"5",19,1982.1
"5",20,1987.8
"5",21,1992.8
"5",22,1997.9
"5",23,2005
"5",24,2008.8
"5",25,2012.3
"5",26,2017.1
"5",27,2023.1
"5",28,2029.9
"5",29,2034.9
"5",30,2040
"5",31,2046.6
"5",32,2046.8
"5",33,2046.8
"5",34,2046.8
"5",35,2046.8
"5",36,2046.8
"5",37,2046.8
"5",38,2046.8
"5",39,2046.8
"5",40,2046.8
"5",41,2046.8
"5",42,2046.8
"5",43,2046.8
"6",0,0
"6",1,85.9
"6",2,384.4
"6",3,902.4
"6",4,1373
"6",5,1600.1
"6",6,1749.3
"6",7,1820.6
"6",8,1861.4
"6",9,1884.7
"6",10,1904.2
"6",11,1919.1
"6",12,1933.4
"6",13,1945.4
"6",14,1951.8
"6",15,1957.5
"6",16,1965.5
"6",17,1973.1
"6",18,1978.7
"6",19,1984.1
"6",20,1989.1
"6",21,1993
"6",22,1996.8
"6",23,1999.1
"6",24,2001.4
"6",25,2003.7
"6",26,2006.4
"6",27,2009.9
"6",28,2013.4
"6",29,2016.2
"6",30,2018.9
"6",31,2021.5
"6",32,2021.5
"6",33,2021.5
"6",34,2021.5
"6",35,2021.5
"6",36,2021.5
"6",37,2021.5
"6",38,2021.5
"6",39,2021.5
"6",40,2021.5
"6",41,2021.5
"6",42,2021.5
"6",43,2021.5
"7",0,0
"7",1,383.8
"7",2,902.4
"7",3,1517.3
"7",4,1911.5
"7",5,2044.9
"7",6,2124.1
"7",7,2180.4
"7",8,2224.2
"7",9,2263.8
"7",10,2300.9
"7",11,2336.7
"7",12,2371.4
"7",13,2404.6
"7",14,2430.1
"7",15,2450.9
"7",16,2472.2
"7",17,2492.7
"7",18,2508.8
"7",19,2527.2
"7",20,2540.3
"7",21,2552.3
"7",22,2562.7
"7",23,2574.1
"7",24,2584.7
"7",25,2590.7
"7",26,2602.7
"7",27,2611.7
"7",28,2618.8
"7",29,2626.8
"7",30,2632.3
"7",31,2642
"7",32,2644.2
"7",33,2646.4
"7",34,2648.6
"7",35,2651.3
"7",36,2655.6
"7",37,2659.6
"7",38,2663.1
"7",39,2666.5
"7",40,2669.7
"7",41,2673
"7",42,2675.2
"7",43,2675.2
"8",0,0
"8",1,390.7
"8",2,927.4
"8",3,1563
"8",4,1940
"8",5,2080.7
"8",6,2163.1
"8",7,2223.4
"8",8,2270.8
"8",9,2311.4
"8",10,2350.1
"8",11,2385.1
"8",12,2421.2
"8",13,2453.2
"8",14,2478.5
"8",15,2497.6
"8",16,2520.1
"8",17,2540.1
"8",18,2555.4
"8",19,2574.1
"8",20,2585.3
"8",21,2598.9
"8",22,2607
"8",23,2616.5
"8",24,2624.3
"8",25,2630.1
"8",26,2642.1
"8",27,2649.9
"8",28,2655.9
"8",29,2661.7
"8",30,2667.2
"8",31,2672.4
"8",32,2673.7
"8",33,2675.1
"8",34,2676.5
"8",35,2677.8
"8",36,2679.2
"8",37,2680.6
"8",38,2680.6
"8",39,2680.6
"8",40,2680.6
"8",41,2680.6
"8",42,2680.6
"8",43,2680.6
"9",0,0
"9",1,399.3
"9",2,927
"9",3,1557.6
"9",4,1955.3
"9",5,2082
"9",6,2158.5
"9",7,2214.7
"9",8,2259.8
"9",9,2301.6
"9",10,2340.1
"9",11,2376.5
"9",12,2416.6
"9",13,2449.3
"9",14,2474.1
"9",15,2494.3
"9",16,2516.6
"9",17,2536.7
"9",18,2553.4
"9",19,2572.3
"9",20,2585.7
"9",21,2597.5
"9",22,2608.8
"9",23,2617.9
"9",24,2626.5
"9",25,2632.7
"9",26,2645.6
"9",27,2653.7
"9",28,2660.4
"9",29,2668.8
"9",30,2675.9
"9",31,2682.6
"9",32,2684.4
"9",33,2686.1
"9",34,2687.9
"9",35,2689.6
"9",36,2691.4
"9",37,2693.7
"9",38,2696
"9",39,2698.4
"9",40,2699.2
"9",41,2699.2
"9",42,2699.2
"9",43,2699.2
