"bottle","exp","date.time","time","xCH4"
1,"TSR1","2016-04-28 10:30:00.00",1.9,0.4189
2,"TSR1","2016-04-28 10:30:00.00",1.9,0.4219
3,"TSR1","2016-04-28 10:30:00.00",1.9,0.3395
4,"TSR1","2016-04-28 10:30:00.00",1.9,0.3015
5,"TSR1","2016-04-28 10:30:00.00",1.9,0.2769
6,"TSR1","2016-04-28 10:30:00.00",1.9,0.285
7,"TSR1","2016-04-28 10:30:00.00",1.9,0.2217
8,"TSR1","2016-04-28 10:30:00.00",1.9,0.2294
9,"TSR1","2016-04-28 10:30:00.00",1.9,0.09771
10,"TSR1","2016-04-28 10:30:00.00",1.9,0.1132
11,"TSR1","2016-04-28 10:30:00.00",1.9,0.2253
12,"TSR1","2016-04-28 10:30:00.00",1.9,0.2225
1,"TSR1","2016-04-29 15:35:00.00",3.11,0.4363
2,"TSR1","2016-04-29 15:40:00.00",3.11,0.4349
3,"TSR1","2016-04-29 15:50:00.00",3.12,0.01187
4,"TSR1","2016-04-29 15:55:00.00",3.12,0.3851
5,"TSR1","2016-04-29 16:00:00.00",3.12,0.3563
6,"TSR1","2016-04-29 16:05:00.00",3.13,0.256
7,"TSR1","2016-04-29 16:15:00.00",3.14,0.2989
8,"TSR1","2016-04-29 16:40:00.00",3.15,0.3221
9,"TSR1","2016-04-29 16:50:00.00",3.16,0.1567
10,"TSR1","2016-04-29 16:55:00.00",3.16,0.1601
11,"TSR1","2016-04-29 17:00:00.00",3.17,0.2708
12,"TSR1","2016-04-29 17:05:00.00",3.17,0.3299
1,"TSR1","2016-04-30 13:20:00.00",4.01,0.4413
2,"TSR1","2016-04-30 13:20:00.00",4.01,0.4885
3,"TSR1","2016-04-30 13:20:00.00",4.01,0.4883
4,"TSR1","2016-04-30 13:20:00.00",4.01,0.4551
5,"TSR1","2016-04-30 13:20:00.00",4.01,0.4126
6,"TSR1","2016-04-30 13:20:00.00",4.01,0.3901
7,"TSR1","2016-04-30 13:20:00.00",4.01,0.341
8,"TSR1","2016-04-30 13:20:00.00",4.01,0.3802
11,"TSR1","2016-04-30 13:20:00.00",4.01,0.39
12,"TSR1","2016-04-30 13:20:00.00",4.01,0.8872
1,"TSR1","2016-05-02 10:35:00.00",5.9,0.5013
2,"TSR1","2016-05-02 10:40:00.00",5.9,0.5123
3,"TSR1","2016-05-02 10:45:00.00",5.91,0.4896
4,"TSR1","2016-05-02 10:50:00.00",5.91,0.4858
5,"TSR1","2016-05-02 10:55:00.00",5.91,0.4547
6,"TSR1","2016-05-02 11:00:00.00",5.92,0.4426
8,"TSR1","2016-05-02 11:10:00.00",5.92,0.4549
11,"TSR1","2016-05-02 11:20:00.00",5.93,0.4484
12,"TSR1","2016-05-04 11:25:00.00",7.93,0.356
1,"TSR1","2016-05-04 14:30:00.00",8.06,0.5152
2,"TSR1","2016-05-04 14:30:00.00",8.06,0.513
3,"TSR1","2016-05-04 14:30:00.00",8.06,0.5104
5,"TSR1","2016-05-04 14:30:00.00",8.06,0.4829
6,"TSR1","2016-05-04 14:30:00.00",8.06,0.4811
7,"TSR1","2016-05-04 14:30:00.00",8.06,0.4784
8,"TSR1","2016-05-04 14:30:00.00",8.06,0.4889
9,"TSR1","2016-05-04 14:30:00.00",8.06,0.2181
10,"TSR1","2016-05-04 14:30:00.00",8.06,0.2052
11,"TSR1","2016-05-04 14:30:00.00",8.06,0.3355
12,"TSR1","2016-05-04 14:30:00.00",8.06,0.4876
1,"TSR1","2016-05-09 10:45:00.00",12.91,0.5274
2,"TSR1","2016-05-09 10:45:00.00",12.91,0.5286
3,"TSR1","2016-05-09 10:45:00.00",12.91,0.524
4,"TSR1","2016-05-09 10:45:00.00",12.91,0.5286
5,"TSR1","2016-05-09 10:45:00.00",12.91,0.5325
6,"TSR1","2016-05-09 10:45:00.00",12.91,0.5134
7,"TSR1","2016-05-09 10:45:00.00",12.91,0.5371
8,"TSR1","2016-05-09 10:45:00.00",12.91,0.5315
12,"TSR1","2016-05-09 10:45:00.00",12.91,0.522
