"exp","bottle","substrate","inoculum","treatment","start","sub.mass","inoc.mass","water.mass","tare","tot.mass","headspace"
"TSR1",1,"straw","gran sludge","r3","2016-04-26 13:00:00.00",5.27,45.36,45.73,386.68,488.89,491.343333333333
"TSR1",2,"straw","gran sludge","r3","2016-04-26 13:00:00.00",5.27,43.88,45.22,385.02,485.5,493.333333333333
"TSR1",3,"straw","gran sludge","r5","2016-04-26 13:00:00.00",5.28,26.27,53.26,384.7,474.96,502.87
"TSR1",4,"straw","gran sludge","r5","2016-04-26 13:00:00.00",5.3,26.95,52.96,383.14,474,502.423333333333
"TSR1",5,"straw","gran sludge","r6.5","2016-04-26 13:00:00.00",5.31,20.37,59.51,385.08,475.77,502.42
"TSR1",6,"straw","gran sludge","r6.5","2016-04-26 13:00:00.00",5.29,20.61,55.94,386.38,473.66,505.816666666667
"TSR1",7,"straw","gran sludge","r8","2016-04-26 13:00:00.00",5.3,16.5,57.63,385.15,469.94,508.203333333333
"TSR1",8,"straw","gran sludge","r8","2016-04-26 13:00:00.00",5.27,17.15,58.02,385.68,471.48,507.263333333333
"TSR1",9,"straw","gran sludge","r8 no buff","2016-04-26 13:00:00.00",5.26,16.4,63.24,384.61,469.46,502.826666666667
"TSR1",10,"straw","gran sludge","r8 no buff","2016-04-26 13:00:00.00",5.24,16.66,62.83,386.51,471.18,503.043333333333
"TSR1",11,"straw","gran sludge","r9","2016-04-26 13:00:00.00",5.34,14.99,58.41,383.82,467.89,508.8
"TSR1",12,"straw","gran sludge","r9","2016-04-26 13:00:00.00",5.28,14.57,58.35,386.22,470.05,509.48
